,pull,train,push
0,7.345555,16.867649,6.389108
1,6.598316,16.833297,6.174954
2,6.960677,16.659169,6.169529
3,6.625982,16.402821,6.041295
4,6.563398,16.674302,5.965744
5,6.655666,16.903826,6.123782
6,6.542239,16.741761,6.221155
7,6.641474,17.210821,6.512113
8,6.533058,16.938713,6.346376
9,6.556502,16.901415,6.111708
10,6.582724,16.918219,6.154517
11,6.60601,16.597388,6.165684
12,6.532385,16.630029,6.369914
13,6.937851,16.733687,6.214206
14,7.050055,16.943061,6.659527
15,6.677977,17.012966,6.178357
16,6.630472,16.79984,6.900803
17,6.935399,16.965417,6.17453
18,6.531092,16.762416,6.192253
19,6.576743,16.869083,6.233268
20,6.679871,16.855547,6.144502
21,6.563418,16.682459,6.207727
22,7.068349,16.208216,6.386088
23,6.612622,16.491884,6.232261
24,6.59692,16.960832,6.310815
25,6.69142,17.075387,6.637961
26,6.518325,16.880206,6.854591
27,6.5595,16.819986,6.436405
28,6.636562,16.885689,6.654725
29,6.587563,16.744063,6.398176
30,6.718168,16.583998,6.3796
31,6.583163,16.888757,6.189113
32,7.043102,16.925426,6.261685
33,6.638152,17.141953,6.586664
34,7.09588,16.775502,6.167205
35,6.645518,16.671967,6.255938
36,6.516434,16.652181,6.203396
37,6.96744,16.668751,6.351699
38,7.463488,16.715085,6.473181
39,7.069855,16.867732,6.041125
40,6.518703,17.203422,6.420138
41,6.626699,16.560475,6.181161
42,6.937483,16.810836,6.197068
43,6.513959,16.77462,6.259497
44,6.904397,16.823218,6.609697
45,7.068675,16.62114,6.285657
46,6.987155,16.687028,6.217001
47,6.580848,16.96507,6.003889
48,6.525738,17.00442,6.442029
49,6.526199,16.747194,6.837973
,6.73058362,16.80117848,6.3185158
